Code,Harvest,Litter,Initial (start) FM,Initial (start) DM,Start water content,FM at harvest,DM at harvest,Water content at harvest,Mass loss,Cellulase,Chitinase,Phosphatase,Protease,Peroxydase,Phenoloxidase,Amino acid concentration,Gross protein depolymerization,Gross amino acid immobilization,Gross N mineralization,Gross NH4 immobilization,Gross nitrification,Gross NO3 immobilization,Gross P mineralization,Gross P immobilization,Glucan Gross Depolymerisation,Glucan Net Depolymerisation,Glucose Gross Consumption,Glucose concentration,Acid detergent fibre,Cellulose,Lignin not ash corrected,Starch,NH4 concentration,NO3 concentration,PO4 concentration,TDP,Respiration,C_lit,N_lit,P_lit,C:N_lit,C:P_lit,N:P_lit,K litter,CA litter,MG litter,FE litter,MN litter,ZN litter,C_mic,N_ mic,P_mic,C:N_mic,C:Pmic,N:Pmic,DOC,TN,DON,DOC_k2SO4,TN_K2SO4,pH H2O,total PFLA content,identified PLFA content ,approx. Fungal Biomass,main fungal marker 18:2(9),Sum of gram positiv markers,Sum of general bacterial markers incl. gram+,ratioF/B 1,ratioF/B 2,ratioF/B 3,conc_acc_resp_dw,conc_acc_resp_dw_se,cons_acc_resp_litC,cons_acc_resp_litC_se,f2b_qpcr
E1-A-III-A,III,AK,61.52,24.61,60,52.19,23.98,54.05,2.56,1.293,0.715,25.413,1.765,0.491,0.372,6.02,258.57,231.1,10.09,0.45,21.27,21.04,33.94,70.17,322.1,,287.18,17.04,48.46,22.1,25.28,0.093,7.225956261,2.4883131282,43.2123637494,172.7673003865,20.11,50.65,0.94,0.038,53.8829787234,1332.8947368421,24.7368421053,0.26,1.34,0.28,200,160,34,2.318,0.259,0.339087635,8.6210720887,13.7545564012,1.5954577644,5.216,0.152,-6.61,1.449,0.066,6.9,238.58,1079.5,15.04,177.47,54.01,512.65,3.29,0.0066,0.9703,0.0305561072,0.0011999749,0.060327951,0.002347506,8.868102
E1-A-III-B,III,AK,61.78,24.71,60,52.5,24.73,52.89,-0.08,1.481,1.137,25.531,1.353,0.711,0.766,5.26,307.88,271.12,4.42,0.05,11.93,12.84,24.06,33.23,159.98,-150.1,310.08,32.24,46.77,23.96,21.76,0.091,9.0722315921,3.3534811464,46.7084891852,245.7279682816,39.57,50.9,0.92,0.039,55.3260869565,1305.1282051282,23.5897435897,0.26,1.36,0.28,218,167,35,2.097,0.203,0.2878015043,7.6683006536,16.3063775902,2.1264656052,4.875,0.162,-8.35,1.639,0.083,6.9,233.33,1061.24,15.36,181.23,50.21,496.98,3.61,0.0039,1.0113,0.0324007644,0.0011999749,0.0636557257,0.002347506,14.810649
E1-A-III-C,III,AK,61.29,24.52,60,52.36,23.63,54.87,3.63,1.506,0.879,29.892,1.575,0.444,0.718,7.03,396.77,305.62,7.44,8.58,17.84,19.72,44.49,93.86,457.59,-142.11,599.7,47.58,54.12,23.64,29.27,0.066,8.8091360274,4.108782495,56.6539423093,155.5841205831,28.5,49.5,0.86,0.076,57.5581395349,651.3157894737,11.3157894737,0.56,1.37,0.17,205,2359,47,2.423,0.279,0.358879443,6.6047619048,11.59442281,1.7554641601,5.144,0.171,-9.79,1.714,0.067,6.9,286.49,1301.35,17.4,205.31,56.11,638.4,3.66,0.0039,0.9203,0.0294921314,0.0011999749,0.0595800635,0.002347506,15.542737
E1-A-III-D,III,AK,61.07,24.43,60,52.03,23.46,54.9,3.95,0.732,0.124,27.055,1.83,0.573,0.403,6.42,280.32,267.85,5.62,2.57,18.27,22.08,28.1,52.82,238.52,-103.66,342.19,29.57,53.23,24.74,27.3,0.106,9.7864744641,4.2372695847,46.3432059722,135.2103689975,32.35,50.98,0.95,0.039,53.6631578947,1307.1794871795,24.358974359,0.27,1.44,0.29,209,174,34,2.643,0.271,0.3912218917,7.637037037,10.5413323921,1.3802908564,5.215,0.149,-9.95,1.757,0.081,6.8,233.36,1055.01,14.31,168.91,56.64,497.07,2.98,0.0072,0.976,0.0320549647,0.0011999749,0.0628775297,0.002347506,8.723779
E1-A-III-E,III,AK,60.68,24.27,60,51.47,24.06,53.25,0.85,0.512,0.312,25.452,1.442,0.448,0.71,6.01,337.03,361.8,7.12,7.79,13.14,12.16,24.75,30.89,274.97,-211.16,486.13,45.01,57.18,23.6,32.3,0.063,8.3129938565,3.3808323546,62.9221239138,155.5161676825,33.2,50.94,0.92,0.039,55.3695652174,1306.1538461539,23.5897435897,0.26,1.36,0.28,220,166,32,2.825,0.262,0.3317298957,6.6890243902,9.9207217749,1.4831343401,4.827,0.141,-7.37,1.587,0.087,6.8,132.45,598.81,9.92,117.01,28.43,285.38,4.12,0.012,0.9636,0.025727324,0.0011999749,0.0505051511,0.002347506,30.008028
E1-A-IV-B,IV,AK,60.03,24.01,60,46.62,22.17,52.45,7.68,42.18,35.04,175.68,1.04,-0.137,0.055,,,,16.11,21.11,14.3,10.34,24.92,123.2,,,,,,,,,12.5555946207,6.2816797576,53.4886653472,87.50521961,20.64,47.24,0.86,0.035,54.9302325581,1349.7142857143,24.5714285714,0.23,1.39,0.28,202,170,32.5,2.289,0.156,0.1271639604,14.6730769231,18.0003830764,1.2267626736,2.192,,,1.866,0.103,6.7,,,,,,,,,,0.06050768,0.0011999749,0.1192843287,0.0047905353,11.871456
E1-A-IV-C,IV,AK,60.2,24.08,60,49.24,22.46,54.39,6.74,46.9,41.04,218.06,0.76,-0.757,0.111,,,,10.66,10.79,14,12.19,38.49,114.73,,,,,,,,,9.2707871602,5.2917068633,49.1485753223,77.6843391715,17.8,46.93,0.84,0.036,55.869047619,1303.6111111111,23.3333333333,0.24,1.42,0.3,204.5,167,35,2.334,0.146,0.0979945435,15.9863013699,23.8176526645,1.4898788728,1.616,,,1.491,0.082,6.9,,,,,,,,,,0.06050768,0.0011999749,0.1192843287,0.0047905353,17.226385
E1-A-IV-D,IV,AK,60.27,24.11,60,47.02,22.72,51.68,5.76,30.95,29.35,260.99,1.01,-0.382,0.111,,,,25.48,24.55,12.97,16.1,55.78,105.53,,,,,,,,,10.3415733283,5.5252220831,55.588682832,80.9757705786,31.47,46.85,0.82,0.035,57.1341463415,1338.5714285714,23.4285714286,0.24,1.38,0.28,174,161,32,1.896,0.14,0.0905184433,13.5428571429,20.9460075876,1.5466461299,1.492,,,1.708,0.088,6.8,,,,,,,,,,0.06050768,0.0011999749,0.1192843287,0.0047905353,10.009817
E1-A-IV-E,IV,AK,60.63,24.25,60,46.84,22.93,51.05,5.45,59.46,55.76,368.38,1.1,-2.096,0.287,,,,16.45,20.95,27.25,24.08,48.47,83.97,,,,,,,,,13.4996772631,6.5512335858,66.8501845856,102.5924305885,25.17,46.87,0.86,0.035,54.5,1339.1428571429,24.5714285714,0.24,1.36,0.28,170.5,163,33.5,2.504,0.173,0.122040338,14.4739884393,20.5178061687,1.4175640843,2.124,,,2.434,0.11,6.7,,,,,,,,,,0.06050768,0.0011999749,0.1192843287,0.0047905353,10.656583
E1-A-IV-F,IV,AK,60.23,24.09,60,39.7,22.3,43.83,7.44,30.79,47.81,198.78,0.79,-0.62,0.087,,,,12.41,13.9,14.48,14.13,25.79,70.92,,,,,,,,,9.7092720618,5.3966370935,54.3990908609,79.5489427946,22.4,46.84,0.84,0.033,55.7619047619,1419.3939393939,25.4545454545,0.24,1.35,0.28,164,159,34.5,1.925,0.116,0.0946212543,16.5948275862,20.3442663431,1.2259402056,1.406,,,1.518,0.08,6.9,,,,,,,,,,0.06050768,0.0011999749,0.1192843287,0.0047905353,12.546383
