Code,Harvest,Litter,f2b,mesocosm,Dothideomycetes,Eurotiomycetes,Leotiomycetes,Saccharomycetes,Sordariomycetes,Agaricomycetes,Tremellomycetes,Ustilaginomycetes,Thermotogae,Bacteroidetes,Actinobacteria,Cyanobacteria,Firmicutes,Fusobacteria,Verrucomicrobia,Dictyoglomi,Alpha,Beta,Gamma,Delta,Epsilon
E1-O-III-D,III,OS,3.3,,,,,,,,,,,,,,,,,,,,,,
E1-O-III-E,III,OS,3.3,,,,,,,,,,,,,,,,,,,,,,
E1-O-IV-B,IV,OS,1.76016,134,6.0773016057,16.5738791954,10.5157086546,0.9437992,27.8930925743,0.8035047244,0.7269804649,0.2423268216,0.5760535621,1.293403281,13.2021332097,0.6267752594,1.188336908,0.2065097675,0,0,9.2561844241,4.6006173555,4.3865029564,0.7048721813,0
E1-O-IV-C,IV,OS,1.76016,,,,,,,,,,,,,,,,,,,,,,
E1-O-IV-D,IV,OS,1.76016,,,,,,,,,,,,,,,,,,,,,,
E1-O-IV-E,IV,OS,1.76016,,,,,,,,,,,,,,,,,,,,,,
E1-O-IV-F,IV,OS,1.76016,,,,,,,,,,,,,,,,,,,,,,
E1-S-I-A,I,SW,12.1,,,,,,,,,,,,,,,,,,,,,,
E1-S-I-B,I,SW,12.1,144,12.3770992366,19.9788549618,4.5629007634,2.2075572519,50.736870229,1.0991603053,0.3879389313,1.0160305344,0.3603053435,0,0,1.3687022901,0.306870229,0,0,0,0.6039929008,1.3664009924,2.3655922137,1.2617238168,0
E1-S-I-C,I,SW,12.1,,,,,,,,,,,,,,,,,,,,,,
E1-S-I-D,I,SW,12.1,,,,,,,,,,,,,,,,,,,,,,
E1-S-I-E,I,SW,12.1,,,,,,,,,,,,,,,,,,,,,,
E1-S-II-A,II,SW,5.6,148,11.4884848485,29.4848484848,5.7018181818,2.8763636364,33.6424242424,0.7296969697,0.6533333333,0.2715151515,0.8227272727,0,0.7772727273,0,0.4378787879,0,0,0,0.8025545455,2.8915568182,9.419525,0,0
E1-S-II-B,II,SW,5.6,,,,,,,,,,,,,,,,,,,,,,
E1-S-II-C,II,SW,5.6,,,,,,,,,,,,,,,,,,,,,,
E1-S-II-D,II,SW,5.6,,,,,,,,,,,,,,,,,,,,,,
E1-S-II-E,II,SW,5.6,,,,,,,,,,,,,,,,,,,,,,
E1-S-III-A,III,SW,4.4,154,9.4274074074,35.3303703704,3.357037037,0.88,30.742962963,0.3422222222,0.22,0,0.3240740741,0,0.462962963,0,0.5685185185,0,0,0,2.2486444444,2.7852527778,11.1171618519,0,0.8824225926
E1-S-III-B,III,SW,4.4,,,,,,,,,,,,,,,,,,,,,,
E1-S-III-C,III,SW,4.4,,,,,,,,,,,,,,,,,,,,,,
E1-S-III-D,III,SW,4.4,,,,,,,,,,,,,,,,,,,,,,
E1-S-III-E,III,SW,4.4,,,,,,,,,,,,,,,,,,,,,,
E1-S-IV-B,IV,SW,2.80513,191,13.0999887257,19.4398819751,15.1715119851,0.5897575116,22.4181574086,0.8330324851,2.0125475082,0,0,3.8448095072,2.6963599141,0.4020887591,0,0,0,0,7.6216302728,4.5049209882,5.7268566383,1.4810169429,0
E1-S-IV-C,IV,SW,2.80513,,,,,,,,,,,,,,,,,,,,,,
E1-S-IV-D,IV,SW,2.80513,,,,,,,,,,,,,,,,,,,,,,
E1-S-IV-E,IV,SW,2.80513,,,,,,,,,,,,,,,,,,,,,,
E1-S-IV-F,IV,SW,2.80513,,,,,,,,,,,,,,,,,,,,,,
