"","al","C","L","lip","N","non","Ph","phytol","unk"
"1",1.56538066608559,24.4548101236851,28.348279075115,7.06762169780377,3.02363614061964,7.46928934509798,12.9422718540056,2.05326564858579,13.0754454490015
"2",1.58002672090871,25.8562409242017,28.841982721977,6.67026659119742,2.92039974858143,7.50703416997417,12.0722101527465,1.85251623217761,12.6993227382354
"3",2.01904762183791,26.5034353849649,29.4809443584841,3.84635037835699,3.3323253075891,8.07347670030809,12.6281764017518,1.2885641092776,12.8276797374295
"4",1.56735870069411,26.9161624623954,28.9897551790581,3.68660718803858,3.0583998547971,7.87638746761608,13.5873459115139,1.25779438622764,13.0601888496590
"5",2.55505603551114,25.973214286494,28.3784529222281,2.86804895488144,2.77860633331583,8.51781813847397,15.1298519378513,1.05216038383726,12.7467910074070
"6",2.49671334140150,25.6788255323131,30.2853206433761,3.5722663366536,2.50938323215086,7.14402159925792,13.8951251483124,1.07311038445326,13.3452337820812
"7",2.26371234695562,25.8003984699264,27.8432645537318,2.80309675491164,2.53262618931702,8.26226095800086,15.8555753403822,1.21722285535709,13.4218425314175
"8",2.13890177388713,25.7700898957574,30.5348467099461,3.16976066228012,2.75982310601371,7.5469661268732,14.1707284260581,1.14393885185408,12.7649444473301
"9",2.13551719740989,26.0576834877598,29.1379390706432,3.17896022825343,2.73795236608452,8.08417409891926,14.7777185564999,1.18358402477861,12.7064709696513
"10",2.34476675613190,26.7092136434663,28.8961708359547,2.89230190667064,2.83134747893617,8.38559912359927,14.7793314187918,0.787151750293144,12.3741170861561
"11",2.45508960222191,26.0421298634882,27.854454718198,3.06848051936684,2.79735269961167,8.24501643716514,15.7152540926645,0.800785600353584,13.0214364669302
"12",2.43674880623779,26.0966587276541,31.0462499816901,3.02414615499538,2.75697552566251,7.76853970676913,13.6657690152709,0.830993617703802,12.3739184640163
"13",2.60187026352433,26.1928314848852,26.9287419420276,3.07129939664738,2.78261835764211,8.56003172534876,16.1995161265258,0.765656332494138,12.8974343709048
"14",2.42209562056492,26.8085390542921,28.8690665203069,2.80672195044568,2.82559969416423,8.4084487738833,14.5236005649238,0.819945687478488,12.5159821339406
"15",2.16494159233037,25.8655990747604,26.6681166550446,2.36127356170876,3.24198754028505,8.73753950159451,16.584822772084,0.874045319047436,13.5016739831449
"16",2.01260563048131,26.3597511845239,29.8434865153272,1.9671800448757,2.89953820170069,7.59378265075037,14.7151617093508,0.641161832834007,13.9673322301561
"17",2.19818388886733,26.5319581051085,30.2818762313175,2.22063998164789,2.99725359913825,7.80177905342144,14.1218647501889,0.654733202180362,13.1917111881298
"18",1.98439265924033,27.1652989480468,28.8416298753638,2.468995170495,3.07578250924884,7.92798954686148,14.2993645192653,0.701349112855664,13.5351976586229
"19",2.03051226043042,27.2003607878883,27.9837398579104,2.07575212989938,2.87280471352394,8.41132964056779,15.4259268698147,0.649644667153745,13.3499290728113
"20",2.8394341820075,25.9774053116076,29.7873632635477,3.52502273093838,2.97377127820361,8.36052309057209,14.0978423392812,1.02792531932834,11.4107124845136
"21",2.84503163262336,26.404150722422,29.5021561849692,3.09411068476337,3.22585217225859,8.76423892208375,13.9878590282018,1.02400823182336,11.1525924208545
"22",3.69553138743727,26.2527845296906,30.5194026967168,3.2727114311911,2.87287340367183,8.37753120998573,12.7804486806336,0.913284839289888,11.3154318213832
"23",3.13380120692541,25.9122870403045,29.8572673429268,3.43500135654516,2.94379484150751,8.31158096848811,14.0551172612487,0.873609898203865,11.47754008385
